dorm,drinks,sex,firstYear,off.campus,first_year,off_campus
mohn,0,f,1,0,1,0
ytterboe,5,f,0,0,0,0
larson,10,m,0,0,0,0
rand,0,f,0,0,0,0
thorson,0,m,0,0,0,0
hillboe,3,f,0,0,0,0
mohn,0,f,1,0,1,0
ytterboe,0,f,0,0,0,0
thorson,0,m,0,0,0,0
melby,6,m,0,0,0,0
ytterboe,22,m,0,0,0,0
melby,0,m,0,0,0,0
rand,4,f,0,0,0,0
ytterboe,5,m,0,0,0,0
larson,4,m,0,0,0,0
hillboe,3,f,0,0,0,0
thorson,0,f,0,0,0,0
thorson,7,m,0,0,0,0
larson,2,m,0,0,0,0
larson,0,f,0,0,0,0
mohn,3,f,1,0,1,0
melby,0,f,0,0,0,0
rand,2,f,0,0,0,0
larson,0,f,0,0,0,0
melby,0,f,0,0,0,0
mohn,0,m,1,0,1,0
thorson,4,f,0,0,0,0
kildahl,0,f,1,0,1,0
larson,0,f,0,0,0,0
off campus,4,f,0,1,0,1
ytterboe,2,f,0,0,0,0
off campus,5,f,0,1,0,1
rand,0,m,0,0,0,0
mohn,1,f,1,0,1,0
mohn,1,f,1,0,1,0
larson,0,f,0,0,0,0
melby,5,m,0,0,0,0
ytterboe,2,m,0,0,0,0
larson,3,f,0,0,0,0
hillboe,0,f,0,0,0,0
melby,3,m,0,0,0,0
ytterboe,1,f,0,0,0,0
thorson,1,f,0,0,0,0
ytterboe,1,f,0,0,0,0
mohn,2,f,1,0,1,0
off campus,6,m,0,1,0,1
rand,3,f,0,0,0,0
larson,0,f,0,0,0,0
thorson,2,f,0,0,0,0
melby,0,f,0,0,0,0
melby,3,f,0,0,0,0
mohn,0,f,1,0,1,0
mohn,0,f,1,0,1,0
ytterboe,2,f,0,0,0,0
off campus,0,f,0,1,0,1
hillboe,0,m,0,0,0,0
mohn,0,f,1,0,1,0
melby,0,f,0,0,0,0
melby,3,f,0,0,0,0
larson,1,f,0,0,0,0
mohn,0,f,1,0,1,0
kittlesby,0,m,1,0,1,0
kildahl,0,f,1,0,1,0
kittlesby,0,f,1,0,1,0
off campus,10,m,0,1,0,1
larson,0,m,0,0,0,0
melby,0,f,0,0,0,0
melby,0,f,0,0,0,0
thorson,0,f,0,0,0,0
larson,0,f,0,0,0,0
melby,1,m,0,0,0,0
mohn,1,f,1,0,1,0
mohn,5,f,1,0,1,0
larson,1,f,0,0,0,0
mohn,0,f,1,0,1,0
off campus,5,f,0,1,0,1
off campus,1,f,0,1,0,1
